station_code,지번주소,si,city,dong,road_addr
1,제주특별자치도 제주시 건입동 908-20,제주시,제주시,건입동,임항로
2,제주특별자치도 제주시 이호이동 1587-4,제주시,제주시,이호이동,일주서로
3,제주특별자치도 제주시 이호이동 1587-1,제주시,제주시,이호이동,일주서로
4,제주특별자치도 제주시 이호이동 803-5,제주시,제주시,이호이동,일주서로
5,제주특별자치도 제주시 이호이동 1962-1,제주시,제주시,이호이동,일주서로
6,제주특별자치도 제주시 노형동 2577-1,제주시,제주시,노형동,월랑로
7,제주특별자치도 제주시 노형동 1238-1,제주시,제주시,노형동,월랑로
8,제주특별자치도 제주시 노형동 1297-5,제주시,제주시,노형동,월랑로
9,제주특별자치도 제주시 노형동 1064-6,제주시,제주시,노형동,수덕5길
10,제주특별자치도 제주시 노형동 1297-5,제주시,제주시,노형동,월랑로
11,제주특별자치도 제주시 노형동 948,제주시,제주시,노형동,1100로
12,제주특별자치도 제주시 노형동 767,제주시,제주시,노형동,연북로
13,제주특별자치도 제주시 노형동 767,제주시,제주시,노형동,연북로
14,제주특별자치도 제주시 애월읍 하귀1리 275-4,제주시,애월읍,하귀1리,일주서로
15,제주특별자치도 제주시 애월읍 하귀1리 264-3,제주시,애월읍,하귀1리,일주서로
16,제주특별자치도 제주시 애월읍 하귀1리 3010,제주시,애월읍,하귀1리,일주서로
17,제주특별자치도 제주시 외도일동 2111-1,제주시,제주시,외도일동,일주서로
18,제주특별자치도 제주시 외도이동 2552,제주시,제주시,외도이동,일주서로
19,제주특별자치도 제주시 외도일동 646-1,제주시,제주시,외도일동,일주서로
20,제주특별자치도 제주시 외도이동 1925-9,제주시,제주시,외도이동,일주서로
21,제주특별자치도 제주시 애월읍 구엄리 1292,제주시,애월읍,구엄리,일주서로
22,제주특별자치도 제주시 애월읍 구엄리 1292,제주시,애월읍,구엄리,일주서로
23,제주특별자치도 제주시 애월읍 구엄리 50-1,제주시,애월읍,구엄리,일주서로
24,제주특별자치도 제주시 애월읍 하귀2리 3017,제주시,애월읍,하귀2리,일주서로
25,제주특별자치도 제주시 애월읍 하귀2리 2442,제주시,애월읍,하귀2리,하귀26길
26,제주특별자치도 제주시 애월읍 하귀2리 1908-2,제주시,애월읍,하귀2리,하귀로
27,제주특별자치도 제주시 외도이동 251-1,제주시,제주시,외도이동,도근내길
28,제주특별자치도 제주시 외도이동 272-11,제주시,제주시,외도이동,일주서로
29,제주특별자치도 제주시 내도동 580-8,제주시,제주시,내도동,일주서로
30,제주특별자치도 제주시 내도동 580-1,제주시,제주시,내도동,내도3길
31,제주특별자치도 제주시 내도동 310-6,제주시,제주시,내도동,일주서로
32,제주특별자치도 제주시 내도동 351-4,제주시,제주시,내도동,내도7길
33,제주특별자치도 제주시 내도동 896,제주시,제주시,내도동,일주서로
34,제주특별자치도 제주시 내도동 273-4,제주시,제주시,내도동,신산마을길
35,제주특별자치도 제주시 이호일동 1914,제주시,제주시,이호일동,일주서로
36,제주특별자치도 제주시 이호일동 1907-2,제주시,제주시,이호일동,일주서로
37,제주특별자치도 제주시 애월읍 하귀2리 1875-6,제주시,애월읍,하귀2리,하귀로
38,제주특별자치도 제주시 애월읍 하귀2리 3016,제주시,애월읍,하귀2리,하귀로
39,제주특별자치도 제주시 애월읍 하귀2리 1422-3,제주시,애월읍,하귀2리,하귀로
40,제주특별자치도 제주시 애월읍 하귀1리 1508-4,제주시,애월읍,하귀1리,하귀로
41,제주특별자치도 제주시 애월읍 하귀1리 1373-2,제주시,애월읍,하귀1리,하귀로
42,제주특별자치도 제주시 애월읍 하귀1리 1363-2,제주시,애월읍,하귀1리,하귀로
43,제주특별자치도 제주시 애월읍 하귀1리 1552-4,제주시,애월읍,하귀1리,하귀로
44,제주특별자치도 제주시 애월읍 하귀1리 569-3,제주시,애월읍,하귀1리,일주서로
