date,temperature,amount of precipitation,wind speed,humidity,atmospheric pressure
2019-09-01,23.3,26.1,2,80.6,1014.3
2019-09-02,24.1,25.7,2.4,93.8,1012.5
2019-09-03,24.8,13.9,2.2,93.3,1011.3
2019-09-04,24.7,43,1.6,91.6,1009.7
2019-09-05,26.2,7,1.6,89.3,1008.1
2019-09-06,26.8,68.8,4.2,89.9,1000.3
2019-09-07,27.6,34.3,6.5,80,998.4
2019-09-08,24.5,19,2,94.5,1005.8
2019-09-09,26.2,24.7,2.7,92.9,1004.7
2019-09-10,27,0,1.7,79.5,1010.4
2019-09-11,26,5,1.8,88.5,1012
2019-09-12,24.1,0.6,3.2,86.3,1012
2019-09-13,24,,3,73.4,1010.4
2019-09-14,24.3,,2.1,76.5,1009.7
2019-09-15,24.6,,1.9,84.3,1007.9
2019-09-16,24.6,0,1.9,82.8,1007.8
2019-09-17,23.8,,2.8,67.3,1011.5
2019-09-18,23.3,,2.4,69.9,1013.7
2019-09-19,22.8,,3.2,65.9,1014.3
2019-09-20,22.5,0,3.9,72.9,1012.2
2019-09-21,20.5,156,5.3,91.4,1010.3
2019-09-22,20.4,126.2,9.2,90.6,999.4
2019-09-23,21,0,2.5,73.9,1012.2
2019-09-24,20.4,,2,62.3,1016.7
2019-09-25,21.8,,2.5,67.5,1018.7
2019-09-26,23.8,1,3.6,85,1019
2019-09-27,23.8,36,3.1,94.4,1018
2019-09-28,24.1,0.7,2,97.9,1015.2
2019-09-29,24.1,0,1.5,93.8,1014
2019-09-30,23.6,22.6,1.2,92,1014.1
